time_s,wall_time,motor_mm,motor_steps,flow_inj_ml_min,flow_main_ml_min,pump_rpm,mcu_state
0.037917799999831914,1779895297.7842898,0.0,0,1798.0,0.0,0.0,2
0.13236689999985174,1779895297.8787389,0.0,0,1638.0,0.0,0.0,2
0.22779289999971297,1779895297.974165,0.0,0,1882.0,0.0,0.0,2
0.32325089999994816,1779895298.0696228,0.0,0,2203.0,0.0,0.0,2
0.4341872999998486,1779895298.1805599,0.0,0,2058.0,0.0,0.0,2
0.5293781999998828,1779895298.2757506,0.0,0,1728.0,0.0,0.0,2
0.624708599999849,1779895298.3710804,0.0,0,1729.0,0.0,0.0,2
0.7193686000000525,1779895298.465741,0.0,0,2075.0,0.0,0.0,2
0.8307847000000947,1779895298.5771565,0.0,0,2183.0,0.0,0.0,2
0.9257396999996672,1779895298.6721115,0.0,0,1890.0,0.0,0.0,2
1.0208007999999609,1779895298.7671735,0.0,0,1687.0,0.0,0.0,2
1.1168047000001025,1779895298.8631768,0.0,0,1855.0,0.0,0.0,2
1.2284905999999864,1779895298.9748628,0.0,0,2193.0,0.0,0.0,2
1.3236673999999766,1779895299.0700393,0.0,0,2092.0,0.0,0.0,2
1.4194382000000587,1779895299.16581,0.0,0,1756.0,0.0,0.0,2
1.5146787999997287,1779895299.261051,0.0,0,1708.0,0.0,0.0,2
1.6260533999998188,1779895299.3724256,0.0,0,2000.0,0.0,0.0,2
1.7205208999998831,1779895299.4668927,0.0,0,2212.0,0.0,0.0,2
1.816001299999698,1779895299.5623732,0.0,0,1974.0,0.0,0.0,2
1.911337199999707,1779895299.657709,0.0,0,1701.0,0.0,0.0,2
2.0235720999999103,1779895299.769944,0.0,0,1798.0,0.0,0.0,2
2.1184619000000566,1779895299.8648338,0.0,0,2174.0,0.0,0.0,2
2.213645699999688,1779895299.9600174,0.0,0,2146.0,0.0,0.0,2
2.3092314000000442,1779895300.055603,0.0,0,1844.0,0.0,0.0,2
2.420454999999947,1779895300.1668267,0.0,0,1735.0,0.0,0.0,2
2.515892999999778,1779895300.2622647,0.0,0,1982.0,0.0,0.0,2
2.611434999999801,1779895300.3578074,0.0,0,2203.0,0.0,0.0,2
2.7059009999998125,1779895300.4522767,0.0,0,1999.0,0.0,0.0,2
2.8178258999996615,1779895300.5641985,0.0,0,1749.0,0.0,0.0,2
2.9137323999998443,1779895300.6601045,0.0,0,1828.0,0.0,0.0,2
3.0089915999997174,1779895300.7553632,0.0,0,2146.0,0.0,0.0,2
3.105275299999903,1779895300.8516474,0.0,0,2146.0,0.0,0.0,2
3.2162168999998357,1779895300.9625888,0.0,0,1840.0,0.0,0.0,2
3.312168799999654,1779895301.058541,0.0,0,1749.0,0.0,0.0,2
3.4074526999997943,1779895301.1538246,0.0,0,1983.0,0.0,0.0,2
3.502671499999906,1779895301.2490435,0.0,0,2212.0,0.0,0.0,2
3.6147697999999764,1779895301.3611414,0.0,0,1983.0,0.0,0.0,2
3.710349199999655,1779895301.456721,0.0,0,1756.0,0.0,0.0,2
3.8044780000000173,1779895301.5508497,0.0,0,1848.0,0.0,0.0,2
3.899361499999941,1779895301.645733,0.0,0,1991.0,0.0,0.0,2
4.011380800000097,1779895301.7577527,0.0,0,1636.0,0.0,0.0,2
4.1067401000000245,1779895301.8531117,0.0,0,1056.0,0.0,0.0,2
4.202796399999897,1779895301.9491684,0.0,0,677.0,0.0,0.0,2
4.298062800000025,1779895302.0444348,0.0,0,478.0,0.0,0.0,2
4.409207599999718,1779895302.1555793,0.0,0,349.0,0.0,0.0,2
4.5042874000000666,1779895302.2506595,0.0,0,272.0,0.0,0.0,2
4.600136699999894,1779895302.3465083,0.0,0,212.0,0.0,0.0,2
4.696394000000055,1779895302.4427657,0.0,0,159.0,0.0,0.0,2
4.792199499999697,1779895302.5385716,0.0,0,113.0,0.0,0.0,2
4.902121899999656,1779895302.6484933,0.0,0,101.0,0.0,0.0,2
4.997343000000001,1779895302.7437146,0.0,0,94.0,0.0,0.0,2
5.09399779999967,1779895302.84037,0.0,0,621.0,0.0,0.0,2
5.1897524000000885,1779895302.9361243,0.0,0,800.0,0.0,0.0,2
5.301187799999752,1779895303.0475593,0.0,0,758.0,0.0,0.0,2
5.397359099999903,1779895303.1437309,0.0,0,548.0,0.0,0.0,2
5.492753499999708,1779895303.2391253,0.0,0,403.0,0.0,0.0,2
5.587664899999709,1779895303.334036,0.0,0,314.0,0.0,0.0,2
5.700493199999983,1779895303.4468842,0.0,0,251.0,0.0,0.0,2
5.795308100000057,1779895303.5416796,0.0,0,194.0,0.0,0.0,2
5.8902069000000665,1779895303.6365786,0.0,0,153.0,0.0,0.0,2
5.986658399999669,1779895303.7330298,0.0,0,109.0,0.0,0.0,2
6.097586899999897,1779895303.8439589,0.0,0,97.0,0.0,0.0,2
6.193052499999794,1779895303.939424,0.0,0,46.0,0.0,0.0,2
6.289070199999969,1779895304.0354419,0.0,0,557.0,0.0,0.0,2
6.38483959999985,1779895304.1312115,0.0,0,697.0,0.0,0.0,2
6.479873199999929,1779895304.2262447,0.0,0,753.0,0.0,0.0,2
6.592237599999862,1779895304.3386095,0.0,0,624.0,0.0,0.0,2
6.68811659999983,1779895304.4344883,0.0,0,438.0,0.0,0.0,2
6.784268500000053,1779895304.5306408,0.0,0,350.0,0.0,0.0,2
6.895330800000011,1779895304.6417031,0.0,0,261.0,0.0,0.0,2
6.9895747999999,1779895304.7359462,0.0,0,213.0,0.0,0.0,2
7.085641399999986,1779895304.8320136,0.0,0,153.0,0.0,0.0,2
7.180681199999981,1779895304.9270535,0.0,0,145.0,0.0,0.0,2
7.2905901999997695,1779895305.036962,0.0,0,90.0,0.0,0.0,2
7.385584000000108,1779895305.1319559,0.0,0,0.0,0.0,0.0,2
7.480766899999708,1779895305.227139,0.0,0,0.0,0.0,0.0,2
7.576487199999974,1779895305.322859,0.0,0,437.0,0.0,0.0,2
7.687602999999854,1779895305.4339747,0.0,0,519.0,0.0,0.0,2
7.783298899999863,1779895305.5296705,0.0,0,572.0,0.0,0.0,2
7.879121599999962,1779895305.6254935,0.0,0,464.0,0.0,0.0,2
7.975077300000066,1779895305.7214491,0.0,0,345.0,0.0,0.0,2
8.08596099999977,1779895305.8323328,0.0,0,277.0,0.0,0.0,2
