time_s,wall_time,motor_mm,motor_steps,flow_inj_ml_min,flow_main_ml_min,pump_rpm,mcu_state
0.02622749999864027,1779880468.0107718,732.421875,200000,0.0,0.0,0.0,2
0.23160939999797847,1779880468.2161546,732.421875,200000,0.0,0.0,0.0,2
0.4702755000034813,1779880468.4548194,732.421875,200000,0.0,0.0,0.0,2
0.6524815000011586,1779880468.6370265,732.421875,200000,0.0,0.0,0.0,2
0.8311485000012908,1779880468.8156934,732.421875,200000,0.0,0.0,0.0,2
1.0151397000008728,1779880468.999685,732.421875,200000,0.0,0.0,0.0,2
1.2500004000030458,1779880469.234544,732.421875,200000,0.0,0.0,0.0,2
1.4302866000070935,1779880469.4148314,732.421875,200000,0.0,0.0,0.0,2
1.6156823000055738,1779880469.600227,732.421875,200000,0.0,0.0,0.0,2
1.8023229999962496,1779880469.7868664,732.421875,200000,0.0,0.0,0.0,2
2.034314300006372,1779880470.0188603,732.421875,200000,0.0,0.0,0.0,2
2.2100617999967653,1779880470.194606,732.421875,200000,0.0,0.0,0.0,2
2.451159899996128,1779880470.4357045,732.421875,200000,0.0,0.0,0.0,2
2.6267966000013985,1779880470.611341,732.421875,200000,0.0,0.0,0.0,2
2.819306300007156,1779880470.8038516,732.421875,200000,0.0,0.0,0.0,2
2.9975028000044404,1779880470.9820476,732.421875,200000,0.0,0.0,0.0,2
3.228907500000787,1779880471.2134523,732.421875,200000,0.0,0.0,0.0,2
3.4086671999975806,1779880471.393211,732.421875,200000,0.0,0.0,0.0,2
3.602471799997147,1779880471.5870173,732.421875,200000,0.0,0.0,0.0,2
3.825981600006344,1779880471.810527,732.421875,200000,0.0,0.0,0.0,2
4.006818299996667,1779880471.991362,732.421875,200000,0.0,0.0,0.0,2
4.191403000004357,1779880472.1759465,732.421875,200000,0.0,0.0,0.0,2
4.430672100002994,1779880472.4152174,732.421875,200000,0.0,0.0,0.0,2
4.6069533999980194,1779880472.5914986,732.421875,200000,0.0,0.0,0.0,2
4.797834800003329,1779880472.78238,732.421875,200000,0.0,0.0,0.0,2
5.029886500007706,1779880473.014432,732.421875,200000,0.0,0.0,0.0,2
5.208450799997081,1779880473.192996,732.421875,200000,0.0,0.0,0.0,2
5.395298899995396,1779880473.3798442,732.421875,200000,0.0,0.0,0.0,2
5.630751599994255,1779880473.6152956,732.421875,200000,0.0,0.0,0.0,2
5.8051168999954825,1779880473.7896628,732.421875,200000,0.0,0.0,0.0,2
5.991734900002484,1779880473.9762788,732.421875,200000,0.0,0.0,0.0,2
6.221894500005874,1779880474.206438,732.421875,200000,0.0,0.0,0.0,2
